Notice Date,Effective Date,Received,Company,City,No. Of Employees,Layoff/Closure,,
5/27/14,7/27/14,6/2/14,Summit Campus,Oakland,1584,Layoff,Not,known
6/12/14,7/31/14,6/18/14,"Emanual Medical Center, Inc.",Turlock,1130,Layoff,Permanent,
5/9/14,7/31/14,5/21/14,"Northrop Grumman Technical Services, Inc.",Fort Irwin,899,Layoff,Not,known
5/14/14,5/14/14,5/21/14,"Northrop Grumman Technical Services, Inc.",Fort Irwin,813,Layoff,Not,known
6/26/14,8/26/14,6/27/14,"AT&T Mobility Services, LLC/Customer",Atwater,397,Closure,Permanent,
5/23/14,7/28/14,5/28/14,"Jacobson Staffing Company, L.C.",Tracy,390,Layoff,Permanent,
5/27/14,8/1/14,5/27/14,"Mi Pueblo Foods, Inc.",Atwater,279,Closure,Permanent,
5/28/14,7/28/14,5/28/14,St. Jude Medical,Sylmar,274,Layoff,Permanent,
6/9/14,8/8/14,6/12/14,"CRoervpCoyrcaltieo+n, Inc.",Cerritos,256,Layoff,Permanent,
4/30/14,4/30/14,5/1/14,"Contessa Premium Foods, Inc.",Los Angeles,239,Closure,Permanent,
5/19/14,7/28/14,5/20/14,"MV Transportation, Inc.",Anaheim,232,Layoff,Permanent,
6/18/14,9/1/14,6/18/14,"MV Transportation, Inc.",Brisbane,230,Layoff,Permanent,
6/26/14,8/24/14,6/26/14,"Dobake Bakeries, Inc.",Oakland,221,Closure,Not,known
5/29/14,8/4/14,6/2/14,"AGR Group California, LLC/AGR Group, Inc.",Santa Ana,203,Closure,Permanent,
6/11/14,5/13/14,6/18/14,BAE Systems,San Francisco,194,Layoff,Temporary,
5/1/14,6/30/14,5/13/14,URS,San Diego,193,Layoff,Permanent,
6/12/14,7/31/14,6/18/14,"Emanual Medical Center, Inc. Brandel",Turlock,175,Closure,Not,known
5/6/14,6/20/14,5/7/14,VCearimzpounsWireless-Irvine,Irvine,152,Closure,Permanent,
5/19/14,7/18/14,5/22/14,"Landmark Medical Management, LLC",Ontario,147,Layoff,Permanent,
6/5/14,6/5/14,6/5/14,Davis Healthcare Center,Davis,142,Closure,Temporary,
5/9/14,7/11/14,5/13/14,"Trinity Sports, Inc.",Los Angeles,135,Closure,Permanent,
4/22/14,7/20/14,4/29/14,"Sears Holding Corporation, Units 01548 &",Laguna Hills,120,Layoff,Permanent,
6/20/14,8/22/14,6/24/14,Boeing Company,Seal Beach,118,Layoff,Not,known
4/30/14,6/28/14,5/1/14,"Sodexo, Inc.",Stockton,116,Layoff,Permanent,
4/30/14,6/30/14,5/2/14,Boston Scientific Corporation,San Clemente,116,Closure,Permanent,
6/9/14,8/8/14,6/10/14,"Samsung Semiconductor, Inc.",Milpitas,111,Layoff,Permanent,
4/29/14,7/3/14,5/2/14,EMD Millipore,San Diego,110,Closure,Permanent,
5/7/14,7/11/14,5/7/14,TransUnion,Fullerton,106,Closure,Permanent,
5/1/14,6/30/14,5/6/14,Metalclad,Fullerton,100,Closure,Permanent,
5/9/14,7/8/14,5/13/14,Courtesy Chevrolet,San Jose,100,Closure,Permanent,
5/23/14,7/25/14,5/30/14,BCooeminpganCyompany,Huntington Beach,96,Layoff,Not,known
